"REPORT_ID","TYPE_DW","COUNT_DW","MONTHS","HIGHEST_OA_PER_MON","MAX_DURATION"
"188238","准贷记卡60天以上透支","0","0","0.00","0"
"185346","贷款逾期","0","0","0.00","0"
"185346","贷记卡逾期","1","1","0.00","1"
"185346","准贷记卡60天以上透支","0","0","0.00","0"
"184329","贷款逾期","2","20","113105.00","7"
"184329","贷记卡逾期","3","4","2567.00","1"
"184329","准贷记卡60天以上透支","0","0","0.00","0"
"184385","贷款逾期","0","0","0.00","0"
"184385","贷记卡逾期","1","1","4338.00","1"
"184385","准贷记卡60天以上透支","0","0","0.00","0"
"184410","贷款逾期","0","0","0.00","0"
"184410","贷记卡逾期","3","4","287.00","1"
"184410","准贷记卡60天以上透支","0","0","0.00","0"
"185630","贷款逾期","0","0","0.00","0"
"185630","贷记卡逾期","1","1","0.00","1"
"185630","准贷记卡60天以上透支","0","0","0.00","0"
"195830","贷款逾期","0","0","0.00","0"
"195830","贷记卡逾期","3","2","0.00","1"
"195830","准贷记卡60天以上透支","0","0","0.00","0"
"196445","贷款逾期","0","0","0.00","0"
"196445","贷记卡逾期","4","47","9211.00","7"
"196445","准贷记卡60天以上透支","0","0","0.00","0"
"196813","贷款逾期","1","2","0.00","1"
"196813","贷记卡逾期","2","2","0.00","1"
"196813","准贷记卡60天以上透支","0","0","0.00","0"
"195391","贷款逾期","0","0","0.00","0"
"195391","贷记卡逾期","4","6","771.00","4"
"195391","准贷记卡60天以上透支","0","0","0.00","0"
"195604","贷款逾期","0","0","0.00","0"
"195604","贷记卡逾期","2","1","0.00","1"
"195604","准贷记卡60天以上透支","0","0","0.00","0"
"193398","贷款逾期","0","0","0.00","0"
"193398","贷记卡逾期","5","33","3084.00","1"
"193398","准贷记卡60天以上透支","0","0","0.00","0"
"194955","贷款逾期","0","0","0.00","0"
"194955","贷记卡逾期","1","1","0.00","1"
"194955","准贷记卡60天以上透支","0","0","0.00","0"
"195721","贷款逾期","1","1","171.00","1"
"195721","贷记卡逾期","2","42","5023.00","6"
"195721","准贷记卡60天以上透支","0","0","0.00","0"
"195783","贷款逾期","2","6","907.00","1"
"195783","贷记卡逾期","0","0","0.00","0"
"195783","准贷记卡60天以上透支","0","0","0.00","0"
"193623","贷款逾期","0","0","0.00","0"
"193623","贷记卡逾期","1","1","72.00","1"
"193623","准贷记卡60天以上透支","0","0","0.00","0"
"191695","贷款逾期","0","0","0.00","0"
"191695","贷记卡逾期","2","4","5866.00","1"
"191695","准贷记卡60天以上透支","0","0","0.00","0"
"192728","贷款逾期","1","1","946.00","1"
"192728","贷记卡逾期","3","3","1440.00","1"
"192728","准贷记卡60天以上透支","0","0","0.00","0"
"190373","贷款逾期","0","0","0.00","0"
"190373","贷记卡逾期","1","2","0.00","1"
"190373","准贷记卡60天以上透支","0","0","0.00","0"
"190603","贷款逾期","1","1","1654.00","1"
"190603","贷记卡逾期","3","9","14073.00","4"
"190603","准贷记卡60天以上透支","0","0","0.00","0"
"202572","贷款逾期","0","0","0.00","0"
"202572","贷记卡逾期","1","1","0.00","1"
"202572","准贷记卡60天以上透支","0","0","0.00","0"
"203629","贷款逾期","0","0","0.00","0"
"203629","贷记卡逾期","1","1","0.00","1"
"203629","准贷记卡60天以上透支","0","0","0.00","0"
"200200","贷款逾期","0","0","0.00","0"
"200200","贷记卡逾期","1","1","0.00","1"
"200200","准贷记卡60天以上透支","0","0","0.00","0"
"202641","贷款逾期","0","0","0.00","0"
"202641","贷记卡逾期","1","1","0.00","1"
"202641","准贷记卡60天以上透支","0","0","0.00","0"
"202809","贷款逾期","0","0","0.00","0"
"202809","贷记卡逾期","2","22","6944.00","3"
"202809","准贷记卡60天以上透支","0","0","0.00","0"
"202874","贷款逾期","0","0","0.00","0"
"202874","贷记卡逾期","1","1","0.00","1"
"202874","准贷记卡60天以上透支","0","0","0.00","0"
"203831","贷款逾期","0","0","0.00","0"
"203831","贷记卡逾期","1","2","684.00","1"
"203831","准贷记卡60天以上透支","0","0","0.00","0"
"200751","贷款逾期","1","1","2832.00","1"
"200751","贷记卡逾期","5","15","66392.00","3"
"200751","准贷记卡60天以上透支","0","0","0.00","0"
"203183","贷款逾期","0","0","0.00","0"
"203183","贷记卡逾期","2","2","0.00","1"
"203183","准贷记卡60天以上透支","0","0","0.00","0"
"199903","贷款逾期","0","0","0.00","0"
"199903","贷记卡逾期","4","7","352.00","1"
"199903","准贷记卡60天以上透支","0","0","0.00","0"
"202295","贷款逾期","0","0","0.00","0"
"202295","贷记卡逾期","5","16","5087.00","2"
"202295","准贷记卡60天以上透支","0","0","0.00","0"
"204913","贷款逾期","0","0","0.00","0"
"204913","贷记卡逾期","2","3","1065.00","1"
"204913","准贷记卡60天以上透支","0","0","0.00","0"
"204958","贷款逾期","0","0","0.00","0"
"204958","贷记卡逾期","3","5","946.00","1"
"204958","准贷记卡60天以上透支","0","0","0.00","0"
"205151","贷款逾期","6","11","96904.00","3"
"205151","贷记卡逾期","4","9","42566.00","3"
"205151","准贷记卡60天以上透支","0","0","0.00","0"
"205255","贷款逾期","1","2","0.00","1"
"205255","贷记卡逾期","0","0","0.00","0"
"205255","准贷记卡60天以上透支","0","0","0.00","0"
"198252","贷款逾期","0","0","0.00","0"
"198252","贷记卡逾期","3","6","0.00","1"
"198252","准贷记卡60天以上透支","0","0","0.00","0"
"198300","贷款逾期","0","0","0.00","0"
"198300","贷记卡逾期","2","2","0.00","1"
"198300","准贷记卡60天以上透支","0","0","0.00","0"
"198428","贷款逾期","0","0","0.00","0"
"198428","贷记卡逾期","1","1","498.00","1"
"198428","准贷记卡60天以上透支","0","0","0.00","0"
"205439","贷款逾期","0","0","0.00","0"
"205439","贷记卡逾期","2","3","782.00","1"
"205439","准贷记卡60天以上透支","0","0","0.00","0"
"199361","贷款逾期","0","0","0.00","0"
"199361","贷记卡逾期","7","35","19374.00","2"
"199361","准贷记卡60天以上透支","0","0","0.00","0"
"198606","贷款逾期","0","0","0.00","0"
"198606","贷记卡逾期","2","4","0.00","1"
"198606","准贷记卡60天以上透支","0","0","0.00","0"
"198671","贷款逾期","1","1","0.00","1"
"198671","贷记卡逾期","1","2","242.00","1"
"198671","准贷记卡60天以上透支","0","0","0.00","0"
"198773","贷款逾期","0","0","0.00","0"
"198773","贷记卡逾期","5","19","3299.00","2"
"198773","准贷记卡60天以上透支","1","2","5707.00","4"
"199708","贷款逾期","0","0","0.00","0"
"199708","贷记卡逾期","2","2","0.00","1"
"199708","准贷记卡60天以上透支","0","0","0.00","0"
"215389","贷款逾期","0","0","0.00","0"
"215389","贷记卡逾期","2","3","0.00","1"
"215389","准贷记卡60天以上透支","0","0","0.00","0"
"215505","贷款逾期","0","0","0.00","0"
"215505","贷记卡逾期","2","8","1868.00","2"
"215505","准贷记卡60天以上透支","0","0","0.00","0"
"207337","贷款逾期","0","0","0.00","0"
"207337","贷记卡逾期","1","5","0.00","2"
"207337","准贷记卡60天以上透支","0","0","0.00","0"
"213512","贷款逾期","0","0","0.00","0"
"213512","贷记卡逾期","2","9","0.00","2"
"213512","准贷记卡60天以上透支","0","0","0.00","0"
"216213","贷款逾期","0","0","0.00","0"
"216213","贷记卡逾期","2","7","219.00","2"
"216213","准贷记卡60天以上透支","0","0","0.00","0"
"216294","贷款逾期","0","0","0.00","0"
"216294","贷记卡逾期","1","7","485.00","3"
"216294","准贷记卡60天以上透支","0","0","0.00","0"
"213685","贷款逾期","2","4","614.00","3"
"213685","贷记卡逾期","5","27","6542.00","3"
"213685","准贷记卡60天以上透支","1","2","0.00","4"
"216386","贷款逾期","1","2","0.00","1"
"216386","贷记卡逾期","4","12","4241.00","7"
"216386","准贷记卡60天以上透支","0","0","0.00","0"
"214976","贷款逾期","1","1","0.00","1"
"214976","贷记卡逾期","0","0","0.00","0"
"214976","准贷记卡60天以上透支","0","0","0.00","0"
"207863","贷款逾期","4","8","12186.00","1"
"207863","贷记卡逾期","4","5","2010.00","1"
"207863","准贷记卡60天以上透支","0","0","0.00","0"
"215083","贷款逾期","3","4","3130.00","1"
"215083","贷记卡逾期","2","2","0.00","1"
"215083","准贷记卡60天以上透支","0","0","0.00","0"
"207873","贷款逾期","0","0","0.00","0"
"207873","贷记卡逾期","10","12","8977.00","3"
"207873","准贷记卡60天以上透支","1","2","0.00","4"
"210933","贷款逾期","0","0","0.00","0"
"210933","贷记卡逾期","1","4","12.00","1"
"210933","准贷记卡60天以上透支","0","0","0.00","0"
"212205","贷款逾期","0","0","0.00","0"
"212205","贷记卡逾期","2","2","0.00","1"
"212205","准贷记卡60天以上透支","0","0","0.00","0"
"212314","贷款逾期","0","0","0.00","0"
"212314","贷记卡逾期","4","4","3524.00","1"
"212314","准贷记卡60天以上透支","0","0","0.00","0"
"208992","贷款逾期","0","0","0.00","0"
"208992","贷记卡逾期","2","16","841.00","2"
"208992","准贷记卡60天以上透支","0","0","0.00","0"
"209031","贷款逾期","0","0","0.00","0"
"209031","贷记卡逾期","1","3","992.00","1"
"209031","准贷记卡60天以上透支","0","0","0.00","0"
"210177","贷款逾期","0","0","0.00","0"
"210177","贷记卡逾期","2","2","0.00","1"
"210177","准贷记卡60天以上透支","0","0","0.00","0"
"212653","贷款逾期","0","0","0.00","0"
"212653","贷记卡逾期","3","8","1873.00","2"
"212653","准贷记卡60天以上透支","0","0","0.00","0"
"211650","贷款逾期","0","0","0.00","0"
"211650","贷记卡逾期","2","5","0.00","1"
"211650","准贷记卡60天以上透支","0","0","0.00","0"
"208266","贷款逾期","0","0","0.00","0"
"208266","贷记卡逾期","2","9","568.00","1"
"208266","准贷记卡60天以上透支","0","0","0.00","0"
"209467","贷款逾期","1","1","43919.00","1"
"209467","贷记卡逾期","0","0","0.00","0"
"209467","准贷记卡60天以上透支","0","0","0.00","0"
"209655","贷款逾期","0","0","0.00","0"
"209655","贷记卡逾期","1","1","4.00","1"
"209655","准贷记卡60天以上透支","1","17","2948.00","7"
"210824","贷款逾期","0","0","0.00","0"
"210824","贷记卡逾期","6","22","24178.00","7"
"210824","准贷记卡60天以上透支","0","0","0.00","0"
"221983","贷款逾期","0","0","0.00","0"
"221983","贷记卡逾期","1","3","0.00","1"
"221983","准贷记卡60天以上透支","0","0","0.00","0"
"225488","贷款逾期","1","1","583.00","1"
"225488","贷记卡逾期","0","0","0.00","0"
"225488","准贷记卡60天以上透支","0","0","0.00","0"
"222786","贷款逾期","0","0","0.00","0"
"222786","贷记卡逾期","9","29","22631.00","2"
"222786","准贷记卡60天以上透支","0","0","0.00","0"
"225831","贷款逾期","0","0","0.00","0"
"225831","贷记卡逾期","2","14","2459.00","6"
"225831","准贷记卡60天以上透支","0","0","0.00","0"
"223309","贷款逾期","0","0","0.00","0"
"223309","贷记卡逾期","2","32","3832.00","3"
"223309","准贷记卡60天以上透支","0","0","0.00","0"
"222042","贷款逾期","0","0","0.00","0"
"222042","贷记卡逾期","4","35","8570.00","7"
"222042","准贷记卡60天以上透支","0","0","0.00","0"
"225913","贷款逾期","0","0","0.00","0"
"225913","贷记卡逾期","1","4","175.00","3"
"225913","准贷记卡60天以上透支","0","0","0.00","0"
"222380","贷款逾期","0","0","0.00","0"
"222380","贷记卡逾期","1","1","0.00","1"
"222380","准贷记卡60天以上透支","0","0","0.00","0"
"222177","贷款逾期","0","0","0.00","0"
"222177","贷记卡逾期","4","4","0.00","1"
"222177","准贷记卡60天以上透支","0","0","0.00","0"
"222362","贷款逾期","2","20","9596.00","4"
"222362","贷记卡逾期","2","7","0.00","1"
"222362","准贷记卡60天以上透支","0","0","0.00","0"
"219043","贷款逾期","4","3","0.00","1"
"219043","贷记卡逾期","1","1","0.00","1"
"219043","准贷记卡60天以上透支","0","0","0.00","0"
"220991","贷款逾期","0","0","0.00","0"
"220991","贷记卡逾期","2","3","567.00","1"
"220991","准贷记卡60天以上透支","0","0","0.00","0"
"221126","贷款逾期","0","0","0.00","0"
"221126","贷记卡逾期","1","4","0.00","1"
"221126","准贷记卡60天以上透支","0","0","0.00","0"
"220216","贷款逾期","0","0","0.00","0"
"220216","贷记卡逾期","2","2","373.00","1"
"220216","准贷记卡60天以上透支","0","0","0.00","0"
"220795","贷款逾期","1","11","3000.00","7"
"220795","贷记卡逾期","0","0","0.00","0"
"220795","准贷记卡60天以上透支","0","0","0.00","0"
"220366","贷款逾期","1","5","15486.00","3"
"220366","贷记卡逾期","6","10","9423.00","1"
"220366","准贷记卡60天以上透支","0","1","10346.00","3"
"221317","贷款逾期","0","0","0.00","0"
"221317","贷记卡逾期","2","19","803.00","3"
"221317","准贷记卡60天以上透支","0","0","0.00","0"
"217318","贷款逾期","0","0","0.00","0"
"217318","贷记卡逾期","1","1","0.00","1"
"217318","准贷记卡60天以上透支","0","0","0.00","0"
"217394","贷款逾期","0","0","0.00","0"
"217394","贷记卡逾期","13","5","44837.00","4"
"217394","准贷记卡60天以上透支","0","0","0.00","0"
"218808","贷款逾期","0","0","0.00","0"
"218808","贷记卡逾期","3","1","0.00","1"
"218808","准贷记卡60天以上透支","0","0","0.00","0"
"234698","贷款逾期","0","0","0.00","0"
"234698","贷记卡逾期","3","5","418.00","1"
"234698","准贷记卡60天以上透支","0","0","0.00","0"
"233710","贷款逾期","0","0","0.00","0"
"233710","贷记卡逾期","3","18","2910.00","3"
"233710","准贷记卡60天以上透支","0","0","0.00","0"
"233087","贷款逾期","0","0","0.00","0"
"233087","贷记卡逾期","4","12","11142.00","7"
"233087","准贷记卡60天以上透支","0","0","0.00","0"
"233244","贷款逾期","0","0","0.00","0"
"233244","贷记卡逾期","3","15","2212.00","2"
"233244","准贷记卡60天以上透支","0","0","0.00","0"
"230968","贷款逾期","0","0","0.00","0"
"230968","贷记卡逾期","1","1","0.00","1"
"230968","准贷记卡60天以上透支","0","0","0.00","0"
"234589","贷款逾期","0","0","0.00","0"
"234589","贷记卡逾期","3","9","9391.00","1"
"234589","准贷记卡60天以上透支","0","0","0.00","0"
"227875","贷款逾期","0","0","0.00","0"
"227875","贷记卡逾期","1","1","377.00","1"
"227875","准贷记卡60天以上透支","0","0","0.00","0"
"229143","贷款逾期","0","0","0.00","0"
"229143","贷记卡逾期","1","2","200.00","1"
"229143","准贷记卡60天以上透支","0","0","0.00","0"
"229304","贷款逾期","0","0","0.00","0"
"229304","贷记卡逾期","2","1","0.00","1"
"229304","准贷记卡60天以上透支","0","0","0.00","0"
"230329","贷款逾期","0","0","0.00","0"
"230329","贷记卡逾期","3","12","720.00","2"
"230329","准贷记卡60天以上透支","0","0","0.00","0"
"229365","贷款逾期","0","0","0.00","0"
"229365","贷记卡逾期","7","21","1439.00","3"
"229365","准贷记卡60天以上透支","0","0","0.00","0"
"229438","贷款逾期","0","0","0.00","0"
"229438","贷记卡逾期","3","31","1533.00","1"
"229438","准贷记卡60天以上透支","0","0","0.00","0"
"229502","贷款逾期","0","0","0.00","0"
"229502","贷记卡逾期","0","0","0.00","0"
"229502","准贷记卡60天以上透支","1","58","3.00","7"
"230448","贷款逾期","0","0","0.00","0"
"230448","贷记卡逾期","3","4","378.00","1"
"230448","准贷记卡60天以上透支","0","0","0.00","0"
"227478","贷款逾期","0","0","0.00","0"
"227478","贷记卡逾期","2","4","1395.00","1"
"227478","准贷记卡60天以上透支","1","3","2972.00","4"
"227613","贷款逾期","0","0","0.00","0"
"227613","贷记卡逾期","2","7","110.00","2"
"227613","准贷记卡60天以上透支","0","0","0.00","0"
"230005","贷款逾期","0","0","0.00","0"
"230005","贷记卡逾期","1","1","14.00","1"
"230005","准贷记卡60天以上透支","0","0","0.00","0"
"239342","贷款逾期","0","0","0.00","0"
"239342","贷记卡逾期","1","2","0.00","1"
"239342","准贷记卡60天以上透支","0","0","0.00","0"
"236162","贷款逾期","0","0","0.00","0"
"236162","贷记卡逾期","1","6","449.00","1"
"236162","准贷记卡60天以上透支","0","0","0.00","0"
"238492","贷款逾期","1","1","0.00","1"
"238492","贷记卡逾期","0","0","0.00","0"
"238492","准贷记卡60天以上透支","0","0","0.00","0"
"237701","贷款逾期","0","0","0.00","0"
"237701","贷记卡逾期","5","17","1237.00","2"
"237701","准贷记卡60天以上透支","0","0","0.00","0"
"236722","贷款逾期","0","0","0.00","0"
"236722","贷记卡逾期","4","7","1496.00","1"
"236722","准贷记卡60天以上透支","0","0","0.00","0"
"235678","贷款逾期","0","0","0.00","0"
"235678","贷记卡逾期","4","23","1510.00","2"
"235678","准贷记卡60天以上透支","0","0","0.00","0"
"236999","贷款逾期","0","0","0.00","0"
"236999","贷记卡逾期","7","33","133590.00","7"
"236999","准贷记卡60天以上透支","0","0","0.00","0"
"242481","贷款逾期","1","5","0.00","1"
"242481","贷记卡逾期","1","1","0.00","1"
"242481","准贷记卡60天以上透支","0","0","0.00","0"
"241463","贷款逾期","0","0","0.00","0"
"241463","贷记卡逾期","3","31","4039.00","5"
"241463","准贷记卡60天以上透支","0","0","0.00","0"
"243841","贷款逾期","1","1","25977.00","1"
"243841","贷记卡逾期","0","0","0.00","0"
"243841","准贷记卡60天以上透支","0","0","0.00","0"
"240614","贷款逾期","0","0","0.00","0"
"240614","贷记卡逾期","3","7","504.00","1"
"240614","准贷记卡60天以上透支","0","0","0.00","0"
"241733","贷款逾期","0","0","0.00","0"
"241733","贷记卡逾期","2","2","0.00","1"
"241733","准贷记卡60天以上透支","0","0","0.00","0"
"242891","贷款逾期","0","0","0.00","0"
"242891","贷记卡逾期","5","8","1461.00","1"
"242891","准贷记卡60天以上透支","1","2","0.00","3"
"243012","贷款逾期","0","0","0.00","0"
"243012","贷记卡逾期","6","12","25836.00","4"
"243012","准贷记卡60天以上透支","0","0","0.00","0"
"243269","贷款逾期","0","0","0.00","0"
"243269","贷记卡逾期","1","2","0.00","1"
"243269","准贷记卡60天以上透支","0","0","0.00","0"
"243385","贷款逾期","0","0","0.00","0"
"243385","贷记卡逾期","3","15","5203.00","1"
"243385","准贷记卡60天以上透支","0","0","0.00","0"
"240092","贷款逾期","1","4","1137.00","1"
"240092","贷记卡逾期","1","4","228.00","4"
"240092","准贷记卡60天以上透支","0","0","0.00","0"
"243505","贷款逾期","0","0","0.00","0"
"243505","贷记卡逾期","6","41","5692.00","4"
"243505","准贷记卡60天以上透支","0","0","0.00","0"
"248778","贷款逾期","0","0","0.00","0"
"248778","贷记卡逾期","2","11","279.00","1"
"248778","准贷记卡60天以上透支","0","0","0.00","0"
"245059","贷款逾期","0","0","0.00","0"
"245059","贷记卡逾期","2","22","413.00","3"
"245059","准贷记卡60天以上透支","0","0","0.00","0"
"247621","贷款逾期","0","0","0.00","0"
"247621","贷记卡逾期","3","13","21014.00","2"
"247621","准贷记卡60天以上透支","0","0","0.00","0"
"245583","贷款逾期","0","0","0.00","0"
"245583","贷记卡逾期","2","4","353.00","1"
"245583","准贷记卡60天以上透支","0","0","0.00","0"
"244532","贷款逾期","0","0","0.00","0"
"244532","贷记卡逾期","1","6","11.00","1"
"244532","准贷记卡60天以上透支","0","0","0.00","0"
"251824","贷款逾期","1","1","0.00","1"
"251824","贷记卡逾期","0","0","0.00","0"
"251824","准贷记卡60天以上透支","0","0","0.00","0"
"253037","贷款逾期","0","0","0.00","0"
"253037","贷记卡逾期","1","1","600.00","1"
"253037","准贷记卡60天以上透支","0","0","0.00","0"
"252118","贷款逾期","0","0","0.00","0"
"252118","贷记卡逾期","3","3","1038.00","1"
"252118","准贷记卡60天以上透支","0","0","0.00","0"
"249469","贷款逾期","0","0","0.00","0"
"249469","贷记卡逾期","3","5","362.00","1"
"249469","准贷记卡60天以上透支","0","0","0.00","0"
"256147","贷款逾期","0","0","0.00","0"
"256147","贷记卡逾期","5","5","516.00","1"
"256147","准贷记卡60天以上透支","0","0","0.00","0"
"256229","贷款逾期","1","1","891.00","1"
"256229","贷记卡逾期","2","2","0.00","2"
"256229","准贷记卡60天以上透支","0","0","0.00","0"
"254105","贷款逾期","1","6","1241.00","1"
"254105","贷记卡逾期","3","3","1257.00","1"
"254105","准贷记卡60天以上透支","0","0","0.00","0"
"256334","贷款逾期","0","0","0.00","0"
"256334","贷记卡逾期","2","9","929.00","1"
"256334","准贷记卡60天以上透支","0","0","0.00","0"
"256434","贷款逾期","1","3","2333.00","1"
"256434","贷记卡逾期","4","5","692.00","1"
"256434","准贷记卡60天以上透支","0","0","0.00","0"
"256456","贷款逾期","0","0","0.00","0"
"256456","贷记卡逾期","5","10","5855.00","2"
"256456","准贷记卡60天以上透支","0","0","0.00","0"
"253413","贷款逾期","1","2","0.00","1"
"253413","贷记卡逾期","1","2","0.00","1"
"253413","准贷记卡60天以上透支","0","0","0.00","0"
"255723","贷款逾期","0","0","0.00","0"
"255723","贷记卡逾期","1","2","1863.00","1"
"255723","准贷记卡60天以上透支","0","0","0.00","0"
"256759","贷款逾期","0","0","0.00","0"
"256759","贷记卡逾期","2","9","0.00","7"
"256759","准贷记卡60天以上透支","0","0","0.00","0"
"254751","贷款逾期","0","0","0.00","0"
"254751","贷记卡逾期","2","3","25680.00","1"
"254751","准贷记卡60天以上透支","0","0","0.00","0"
"256017","贷款逾期","0","0","0.00","0"
"256017","贷记卡逾期","4","45","47819.00","7"
"256017","准贷记卡60天以上透支","0","0","0.00","0"
"257165","贷款逾期","0","0","0.00","0"
"257165","贷记卡逾期","2","7","6109.00","2"
"257165","准贷记卡60天以上透支","0","0","0.00","0"
"260137","贷款逾期","1","1","0.00","1"
"260137","贷记卡逾期","0","0","0.00","0"
"260137","准贷记卡60天以上透支","0","0","0.00","0"
"258535","贷款逾期","0","0","0.00","0"
"258535","贷记卡逾期","7","29","1509.00","3"
"258535","准贷记卡60天以上透支","0","0","0.00","0"
"261890","贷款逾期","0","0","0.00","0"
